,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Monthly Income,Debt-to-Income Ratio,Credit Utilization Ratio
6435,Fully Paid,223102.0,Long Term,703.0,770716.0,0-1 year,Home Mortgage,Debt Consolidation,10211.93,8.7,12.0,0.0,141284.0,359546.0,0.0,0.0,64226.333333333336,0.15899911251355883,0.3929511105672153
6438,Fully Paid,108064.0,Short Term,701.0,1343927.0,10+ years,Home Mortgage,Debt Consolidation,25758.49,27.6,17.0,0.0,1452436.0,2313300.0,0.0,0.0,111993.91666666667,0.22999901036291406,0.6278632256948947
6439,Fully Paid,131428.0,Short Term,704.0,1456559.0,10+ years,Home Mortgage,Essential Needs,22940.79,30.0,7.0,0.0,676780.0,1137356.0,0.0,0.0,121379.91666666667,0.18899988260001827,0.5950467575675514
6442,Fully Paid,172370.0,Short Term,714.0,724223.0,4-6 years,Rent,Essential Needs,5063.31,18.0,3.0,0.0,2872.040000000002,22148.06,0.0,0.0,60351.916666666664,0.08389642416769422,0.1296745629188291
6443,Fully Paid,339834.0,Short Term,700.0,1166220.0,10+ years,Home Mortgage,Debt Consolidation,18270.78,16.4,15.0,0.0,245404.0,529166.0,0.0,0.0,97185.0,0.188,0.4637561748109289
6444,Fully Paid,384714.0,Long Term,740.0,1462126.0,0-1 year,Rent,Debt Consolidation,33421.76,22.5,13.0,0.0,135470.0,462726.0,0.0,0.0,121843.83333333333,0.2742999714114926,0.29276504886260984
6445,Fully Paid,449592.0,Short Term,732.0,838831.0,4-6 years,Rent,Debt Consolidation,24326.08,14.8,13.0,0.0,240939.0,508156.0,0.0,0.0,69902.58333333333,0.3479997281931641,0.47414376687473925
6447,Fully Paid,223916.0,Short Term,718.0,1415291.0,10+ years,Rent,Debt Consolidation,10897.83,29.1,6.0,1.0,49552.0,190630.0,1.0,0.0,117940.91666666667,0.09240075715877512,0.2599380999842627
6450,Fully Paid,509696.0,Short Term,712.0,1004036.0,2-3 years,Home Mortgage,Debt Consolidation,16315.68,18.0,7.0,1.0,432649.0,514338.0,1.0,0.0,83669.66666666667,0.19500113541745515,0.8040318383845896
6451,Fully Paid,446336.0,Long Term,732.0,1445520.0,4-6 years,Home Mortgage,Debt Consolidation,16623.48,15.3,11.0,0.0,397499.0,975128.0,0.0,0.0,120460.0,0.13799999999999998,0.4076377665291121
6452,Fully Paid,223168.0,Short Term,711.0,1002231.0,7-9 years,Rent,Debt Consolidation,23468.8,20.5,29.0,0.0,124906.0,234410.0,0.0,0.0,83519.25,0.2809986919183302,0.5328526939976963
6453,Fully Paid,325094.0,Short Term,715.0,1310183.0,0-1 year,Rent,Debt Consolidation,8417.95,16.9,5.0,1.0,138567.0,303270.0,1.0,0.0,109181.91666666667,0.07710022187740186,0.4569096844396083
6454,Fully Paid,312972.0,Long Term,669.0,938505.0,0-1 year,Home Mortgage,Debt Consolidation,21272.78,16.8,13.0,0.0,58995.0,76076.0,0.0,0.0,78208.75,0.27199999999999996,0.7754745254745254
6455,Fully Paid,43890.0,Short Term,685.0,1194017.0,2-3 years,Home Mortgage,Other,19999.59,14.9,10.0,0.0,188480.0,261052.0,0.0,0.0,99501.41666666667,0.20099804274143498,0.7220017467784197
6456,Fully Paid,312466.0,Short Term,737.0,2155075.0,10+ years,Home Mortgage,Big Purchase,22538.37,17.0,21.0,0.0,147041.0,905674.0,0.0,0.0,179589.58333333334,0.12549931672911616,0.1623553287385969
6457,Fully Paid,96294.0,Short Term,712.0,3344760.0,10+ years,Own Home,Debt Consolidation,9476.82,24.8,6.0,0.0,69597.0,137280.0,0.0,0.0,278730.0,0.033999999999999996,0.5069711538461539
6458,Fully Paid,281622.0,Short Term,739.0,2128209.0,10+ years,Home Mortgage,Big Purchase,13354.53,32.3,5.0,0.0,105013.0,319110.0,0.0,0.0,177350.75,0.07530010445402684,0.32908088120083984
6460,Fully Paid,663432.0,Long Term,713.0,1550818.0,0-1 year,Home Mortgage,Debt Consolidation,12497.06,14.0,8.0,0.0,364002.0,506572.0,0.0,0.0,129234.83333333333,0.09670039940212198,0.7185592571243574
6462,Fully Paid,778866.0,Long Term,724.0,2498405.0,10+ years,Home Mortgage,Debt Consolidation,27690.6,18.4,6.0,0.0,655557.0,918984.0,0.0,0.0,208200.41666666666,0.13299973383018365,0.7133497427593951
6463,Fully Paid,439780.0,Short Term,694.0,1519240.0,4-6 years,Home Mortgage,Debt Consolidation,12242.65,28.5,7.0,0.0,260452.0,674674.0,0.0,0.0,126603.33333333333,0.0967008504252126,0.3860412584448193
6466,Fully Paid,672210.0,Short Term,726.0,1973853.0,4-6 years,Rent,Other,18916.02,15.9,11.0,0.0,91618.0,284394.0,0.0,0.0,164487.75,0.1149995668370441,0.3221516628339557
6467,Fully Paid,282282.0,Long Term,735.0,1199869.0,7-9 years,Home Mortgage,Debt Consolidation,8499.08,9.8,17.0,0.0,317623.0,1075360.0,0.0,0.0,99989.08333333333,0.08500007917530998,0.2953643431037048
6471,Charged Off,542542.0,Long Term,710.0,1729190.0,10+ years,Rent,Debt Consolidation,43085.54,15.4,10.0,0.0,144533.0,252010.0,0.0,0.0,144099.16666666666,0.29899923085375235,0.5735208920280941
6472,Charged Off,112266.0,Short Term,739.0,674747.0,0-1 year,Rent,Other,4689.58,8.9,7.0,0.0,55157.0,152812.0,0.0,0.0,56228.916666666664,0.08340157125559654,0.36094678428395677
6474,Fully Paid,267014.0,Long Term,698.0,1056913.0,2-3 years,Rent,Debt Consolidation,27303.57,10.0,13.0,0.0,196175.0,454322.0,0.0,0.0,88076.08333333333,0.3099998202311827,0.4317972715386884
6475,Fully Paid,110374.0,Short Term,704.0,876888.0,10+ years,Rent,Debt Consolidation,10961.1,22.5,8.0,0.0,342779.0,397298.0,0.0,0.0,73074.0,0.15,0.8040318383845896
6479,Charged Off,268554.0,Short Term,712.0,1628281.0,10+ years,Rent,Debt Consolidation,12510.74,31.8,16.0,1.0,154299.0,423390.0,1.0,0.0,135690.08333333334,0.09220084248357623,0.36443704386027065
6483,Fully Paid,264572.0,Long Term,725.0,1137492.0,10+ years,Rent,Debt Consolidation,13460.55,14.1,11.0,0.0,224333.0,460548.0,0.0,0.0,94791.0,0.1420024052916416,0.48710015025578224
6486,Fully Paid,279444.0,Short Term,730.0,1280980.0,7-9 years,Home Mortgage,Debt Consolidation,35653.88,17.7,21.0,0.0,447203.0,767140.0,0.0,0.0,106748.33333333333,0.33399940670424205,0.5829483536251532
6490,Fully Paid,754138.0,Long Term,705.0,1932528.0,10+ years,Home Mortgage,Debt Consolidation,16748.5,18.2,14.0,0.0,514349.0,1838144.0,0.0,0.0,161044.0,0.10399952807928269,0.27981975296821143
6491,Charged Off,212806.0,Short Term,742.0,1531552.0,7-9 years,Home Mortgage,Debt Consolidation,5194.41,44.0,8.0,0.0,162963.0,356004.0,0.0,0.0,127629.33333333333,0.040699186184994046,0.45775609262817274
6494,Fully Paid,221122.0,Short Term,737.0,1107624.0,4-6 years,Home Mortgage,Debt Consolidation,9599.37,18.7,12.0,3.0,134026.0,386980.0,3.0,0.0,92302.0,0.10399958830794566,0.3463383120574707
6496,Charged Off,765072.0,Short Term,710.0,4657658.099999993,10+ years,Own Home,Business Loan,41217.84,20.7,19.0,0.0,642162.0,1487134.0,0.0,0.0,388138.1749999994,0.10619372856071181,0.43181179369175876
6498,Fully Paid,26268.0,Short Term,717.0,1700766.0,4-6 years,Home Mortgage,Other,22676.88,8.5,25.0,0.0,63080.0,2518582.0,0.0,0.0,141730.5,0.16,0.025045839285756828
6499,Charged Off,225148.0,Long Term,721.0,680561.0,10+ years,Home Mortgage,Debt Consolidation,13100.88,12.7,13.0,0.0,152741.0,414172.0,0.0,0.0,56713.416666666664,0.23100142382534408,0.3687863979216364
6501,Fully Paid,605044.0,Short Term,748.0,1791529.0,4-6 years,Own Home,Debt Consolidation,39115.11,32.8,23.0,0.0,836950.0,3353262.0,0.0,0.0,149294.08333333334,0.26200040300771016,0.24959278457812126
6502,Fully Paid,173580.0,Short Term,741.0,824467.0,10+ years,Rent,Debt Consolidation,16970.23,18.3,5.0,0.0,269154.0,394988.0,0.0,0.0,68705.58333333333,0.24699928559905976,0.6814232331108793
6503,Fully Paid,446006.0,Long Term,718.0,868851.0,7-9 years,Home Mortgage,Big Purchase,11222.73,14.0,8.0,0.0,315951.0,811184.0,0.0,0.0,72404.25,0.15500098405825624,0.38949362906566204
6504,Fully Paid,85514.0,Short Term,686.0,363961.72000000003,2-3 years,Rent,Debt Consolidation,5412.53,12.0,6.0,0.0,231743.0,354948.0,0.0,0.0,30330.143333333337,0.17845382201183133,0.6528928181029334
6505,Fully Paid,154902.0,Short Term,702.0,802636.0,10+ years,Home Mortgage,Essential Needs,8628.28,26.0,11.0,0.0,281257.0,469260.0,0.0,0.0,66886.33333333333,0.12899914780797275,0.5993628265780164
6507,Fully Paid,434808.0,Long Term,719.0,2159217.0,7-9 years,Rent,Debt Consolidation,13873.04,15.0,5.0,0.0,198987.0,393184.0,0.0,0.0,179934.75,0.07710039333702912,0.5060912956783592
6508,Charged Off,450428.0,Long Term,658.0,1750527.0,10+ years,Home Mortgage,Debt Consolidation,23675.9,10.0,11.0,0.0,408614.0,748638.0,0.0,0.0,145877.25,0.1623001530396275,0.5458098573676463
6509,Fully Paid,630542.0,Short Term,734.0,2664427.0,4-6 years,Rent,Debt Consolidation,22425.51,15.6,9.0,0.0,105469.0,301532.0,0.0,0.0,222035.58333333334,0.1009996220575756,0.3497771380815303
6510,Fully Paid,207900.0,Short Term,744.0,1621593.0,10+ years,Own Home,Debt Consolidation,24594.36,19.8,13.0,1.0,342532.0,944350.0,1.0,0.0,135132.75,0.18200147632605715,0.3627172128977604
6512,Fully Paid,558756.0,Long Term,713.0,1930210.0,2-3 years,Home Mortgage,Debt Consolidation,54528.48,21.2,11.0,0.0,537833.0,847286.0,0.0,0.0,160850.83333333334,0.339000295304656,0.6347714939229493
6515,Fully Paid,111650.0,Short Term,717.0,482087.0,4-6 years,Rent,Other,7793.61,17.8,13.0,0.0,304988.0,576070.0,0.0,0.0,40173.916666666664,0.19399676821818468,0.5294287152602982
6518,Fully Paid,533852.0,Short Term,749.0,1536872.0,7-9 years,Rent,Debt Consolidation,12256.52,15.9,7.0,0.0,571976.0,2115982.0,0.0,0.0,128072.66666666667,0.0956997329640985,0.2703123183467534
6519,Fully Paid,154154.0,Short Term,691.0,494494.0,0-1 year,Home Mortgage,Debt Consolidation,2662.09,9.0,8.0,0.0,50692.0,180576.0,0.0,0.0,41207.833333333336,0.06460155229385998,0.2807239057239057
6520,Fully Paid,263736.0,Short Term,738.0,721278.0,0-1 year,Rent,Debt Consolidation,10879.4,16.1,14.0,0.0,215479.0,358468.0,0.0,0.0,60106.5,0.1810020546862652,0.6011108383454032
6522,Fully Paid,356224.0,Short Term,746.0,1509398.0,10+ years,Rent,Debt Consolidation,15345.54,35.0,12.0,0.0,524229.0,982212.0,0.0,0.0,125783.16666666667,0.12199994964880038,0.5337228622741322
6523,Fully Paid,336864.0,Long Term,713.0,662302.0,2-3 years,Home Mortgage,Debt Consolidation,9548.26,26.8,10.0,1.0,247969.0,478544.0,0.0,0.0,55191.833333333336,0.173001319639681,0.5181738774281989
6524,Charged Off,322410.0,Short Term,700.0,1410788.0,7-9 years,Home Mortgage,Big Purchase,18105.1,12.5,13.0,1.0,154546.0,417120.0,1.0,0.0,117565.66666666667,0.15399989225879435,0.3705072880705792
6526,Fully Paid,222552.0,Short Term,736.0,1441530.0,4-6 years,Rent,Debt Consolidation,27389.07,14.7,15.0,0.0,208278.0,260436.0,0.0,0.0,120127.5,0.228,0.799728148182279
6527,Fully Paid,176660.0,Short Term,748.0,953515.0,0-1 year,Rent,Essential Needs,10011.86,33.5,14.0,0.0,77634.0,1033252.0,0.0,0.0,79459.58333333333,0.1259994022118163,0.07513559131751016
6528,Fully Paid,224488.0,Short Term,738.0,1454070.0,7-9 years,Home Mortgage,Debt Consolidation,1975.24,18.1,7.0,1.0,128231.0,186296.0,1.0,0.0,121172.5,0.016301058408467267,0.6883185897711169
6529,Fully Paid,432454.0,Long Term,713.0,1089327.0,10+ years,Home Mortgage,Debt Consolidation,14705.81,21.5,16.0,0.0,170943.0,764258.0,0.0,0.0,90777.25,0.16199884883051646,0.22367184903527343
6531,Fully Paid,436524.0,Long Term,717.0,1808800.0,4-6 years,Home Mortgage,Debt Consolidation,19896.61,23.3,7.0,1.0,257013.0,522104.0,1.0,0.0,150733.33333333334,0.13199873949579832,0.49226399338062915
6532,Fully Paid,351956.0,Short Term,735.0,1557848.0,4-6 years,Home Mortgage,Debt Consolidation,17396.02,12.3,12.0,0.0,147896.0,272690.0,0.0,0.0,129820.66666666667,0.13400039028197872,0.5423594557922916
6534,Charged Off,34650.0,Short Term,734.0,1215981.0,10+ years,Home Mortgage,Debt Consolidation,14490.35,18.0,10.0,1.0,208430.0,324830.0,1.0,0.0,101331.75,0.14299910936108376,0.6416587137887511
6535,Fully Paid,683936.0,Long Term,691.0,1353408.0,10+ years,Home Mortgage,Business Loan,20413.79,16.0,10.0,0.0,311942.0,490072.0,0.0,0.0,112784.0,0.18099898921832885,0.6365227966502881
6536,Fully Paid,622336.0,Short Term,678.0,2706588.0,2-3 years,Rent,Debt Consolidation,26389.29,10.0,9.0,0.0,285627.0,339922.0,0.0,0.0,225549.0,0.11700025271670458,0.8040318383845896
6539,Fully Paid,65538.0,Short Term,677.0,1415025.0,4-6 years,Home Mortgage,Leisure,12959.33,16.5,12.0,1.0,180500.0,212190.0,1.0,0.0,117918.75,0.1099005035246727,0.8040318383845896
6541,Charged Off,403810.0,Long Term,720.0,1208951.0,4-6 years,Rent,Debt Consolidation,17227.68,9.7,9.0,0.0,136344.0,197318.0,0.0,0.0,100745.91666666667,0.17100127300444765,0.6909861239217913
6542,Fully Paid,656634.0,Short Term,748.0,1701279.0,4-6 years,Home Mortgage,Debt Consolidation,33883.84,43.5,9.0,0.0,483322.0,779416.0,0.0,0.0,141773.25,0.23900023452943342,0.620107875640223
6547,Fully Paid,322014.0,Short Term,700.0,806493.0,10+ years,Home Mortgage,Debt Consolidation,12635.19,26.5,4.0,0.0,23503.0,32230.0,0.0,0.0,67207.75,0.1880019789384409,0.7292274278622402
6549,Charged Off,598114.0,Short Term,745.0,1820884.0,2-3 years,Home Mortgage,Debt Consolidation,39452.36,19.0,15.0,0.0,570323.0,1414072.0,0.0,0.0,151740.33333333334,0.2599991652406194,0.4033196329465544
6550,Charged Off,781484.0,Short Term,720.0,2313972.0,4-6 years,Rent,Debt Consolidation,27767.74,18.5,22.0,0.0,834898.0,2956360.0,0.0,0.0,192831.0,0.14400039412750026,0.28240741993532587
6551,Fully Paid,137456.0,Short Term,713.0,1168215.0,7-9 years,Home Mortgage,Debt Consolidation,13239.96,14.6,13.0,0.0,136097.0,263978.0,0.0,0.0,97351.25,0.1360019516955355,0.5155619028858466
6552,Fully Paid,217800.0,Long Term,730.0,1504800.0,10+ years,Home Mortgage,Debt Consolidation,23324.4,15.7,23.0,1.0,278445.0,1176692.0,1.0,0.0,125400.0,0.186,0.23663371553473636
6555,Fully Paid,249700.0,Long Term,694.0,645088.0,0-1 year,Rent,Debt Consolidation,7956.06,13.2,5.0,0.0,371203.0,573826.0,0.0,0.0,53757.333333333336,0.1479995287464656,0.6468912178953202
6556,Fully Paid,201388.0,Short Term,716.0,543590.0,2-3 years,Rent,Debt Consolidation,9195.81,12.7,13.0,0.0,188784.0,272206.0,0.0,0.0,45299.166666666664,0.20300174764068507,0.6935335738374613
6558,Fully Paid,556116.0,Long Term,736.0,2401372.0,10+ years,Home Mortgage,Debt Consolidation,25214.33,30.0,8.0,0.0,404358.0,991936.0,0.0,0.0,200114.33333333334,0.12599962021710923,0.4076452513065359
6560,Fully Paid,131692.0,Short Term,719.0,545946.0,2-3 years,Rent,Debt Consolidation,5213.79,18.1,3.0,1.0,7068.0,22148.06,0.0,0.0,45495.5,0.11460012528711631,0.31912501591561515
6561,Fully Paid,317064.0,Short Term,723.0,1521216.0,7-9 years,Home Mortgage,Debt Consolidation,10749.82,25.7,9.0,0.0,286026.0,376354.0,0.0,0.0,126768.0,0.08479916067146283,0.7599919224984988
6563,Fully Paid,403810.0,Short Term,685.0,1029857.0,2-3 years,Home Mortgage,Other,9955.24,15.7,7.0,0.0,188594.0,264374.0,0.0,0.0,85821.41666666667,0.11599948342342674,0.7133606179125027
6564,Fully Paid,370744.0,Short Term,711.0,726180.0,10+ years,Rent,Debt Consolidation,10832.09,21.7,11.0,0.0,280060.0,472714.0,0.0,0.0,60515.0,0.17899843014128727,0.5924512495927771
6568,Fully Paid,443520.0,Short Term,720.0,1580040.0,10+ years,Home Mortgage,Debt Consolidation,15405.58,12.5,14.0,0.0,390279.0,598554.0,0.0,0.0,131670.0,0.117001443001443,0.6520364077426598
6569,Fully Paid,52800.0,Short Term,743.0,570057.0,4-6 years,Rent,Debt Consolidation,5472.57,13.0,2.0,0.0,2872.040000000002,22148.06,0.0,0.0,47504.75,0.11520047995200479,0.1296745629188291
6570,Fully Paid,757306.0,Long Term,718.0,2036838.0,10+ years,Home Mortgage,Debt Consolidation,25120.85,33.0,10.0,0.0,1091113.0,1399090.0,0.0,0.0,169736.5,0.14799910449431913,0.7798733462464887
6573,Charged Off,220858.0,Short Term,744.0,1878796.0,0-1 year,Home Mortgage,Other,5229.37,16.2,20.0,1.0,110922.0,1223134.0,1.0,0.0,156566.33333333334,0.03340034788236722,0.09068671134969676
6575,Fully Paid,405944.0,Short Term,736.0,782192.0,2-3 years,Rent,Other,5690.5,13.7,7.0,0.0,6669.0,188298.0,0.0,0.0,65182.666666666664,0.0873008161678974,0.03541726412388873
6576,Fully Paid,450956.0,Short Term,729.0,1149842.0,10+ years,Home Mortgage,Debt Consolidation,16768.64,27.3,10.0,1.0,281466.0,337040.0,1.0,0.0,95820.16666666667,0.17500115668065697,0.8040318383845896
6578,Fully Paid,332838.0,Short Term,705.0,1590566.0,10+ years,Rent,Debt Consolidation,13254.78,22.5,9.0,0.0,293170.0,390610.0,0.0,0.0,132547.16666666666,0.10000047781733044,0.7505440208904022
6583,Fully Paid,521818.0,Short Term,742.0,1558551.0,4-6 years,Home Mortgage,Debt Consolidation,28183.84,16.8,10.0,0.0,387961.0,567204.0,0.0,0.0,129879.25,0.2170003291518853,0.6839884768090493
6584,Fully Paid,135718.0,Short Term,710.0,843885.0,0-1 year,Rent,Other,15330.53,22.6,4.0,0.0,22420.0,34760.0,0.0,0.0,70323.75,0.21799932455251606,0.6449942462600691
6587,Fully Paid,90596.0,Short Term,685.0,363961.72000000003,0-1 year,Rent,Debt Consolidation,2766.4,11.5,5.0,0.0,170297.0,259094.0,0.0,0.0,30330.143333333337,0.09120959204171251,0.6572788254455911
6588,Fully Paid,358820.0,Short Term,741.0,1743174.0,10+ years,Rent,Debt Consolidation,17431.74,14.3,6.0,1.0,147744.0,217646.0,1.0,0.0,145264.5,0.12000000000000001,0.6788270861858247
6590,Fully Paid,376310.0,Long Term,717.0,994118.0,10+ years,Home Mortgage,Debt Consolidation,11681.01,21.4,8.0,0.0,67469.0,148236.0,0.0,0.0,82843.16666666667,0.1410014907687015,0.4551458485118325
6592,Charged Off,585222.0,Long Term,675.0,1128562.0,0-1 year,Rent,Debt Consolidation,6903.08,24.5,8.0,1.0,240692.0,1320858.0,1.0,0.0,94046.83333333333,0.07340045119364288,0.18222397865629764
6593,Fully Paid,466906.0,Long Term,723.0,2880210.0,10+ years,Rent,Debt Consolidation,41043.04,22.5,6.0,0.0,379126.0,444774.0,0.0,0.0,240017.5,0.1710001979022363,0.8040318383845896
6594,Fully Paid,171930.0,Long Term,742.0,445474.0,2-3 years,Own Home,Other,8890.86,18.8,5.0,0.0,507889.0,1028104.0,0.0,0.0,37122.833333333336,0.23949842190565554,0.4940054702637087
6595,Fully Paid,101970.0,Short Term,718.0,1751667.0,7-9 years,Rent,Debt Consolidation,15181.0,12.9,7.0,0.0,36024.0,72798.0,0.0,0.0,145972.25,0.10399921902964433,0.4948487595813072
6596,Charged Off,198660.0,Short Term,734.0,1062328.0,10+ years,Own Home,Debt Consolidation,33198.13,22.0,21.0,0.0,635018.0,866052.0,0.0,0.0,88527.33333333333,0.37500429245957934,0.7332331084045761
6598,Fully Paid,352990.0,Long Term,719.0,1324205.0,2-3 years,Home Mortgage,Debt Consolidation,24166.67,12.1,12.0,0.0,417658.0,745184.0,0.0,0.0,110350.41666666667,0.21899935432957884,0.5604763387297634
6601,Fully Paid,757768.0,Long Term,689.0,1383637.0,4-6 years,Own Home,Debt Consolidation,27672.93,25.0,24.0,0.0,401394.0,1223068.0,0.0,0.0,115303.08333333333,0.24000164783104241,0.32818616789908656
6603,Fully Paid,144122.0,Short Term,734.0,732564.0,4-6 years,Home Mortgage,Other,5762.89,14.5,4.0,0.0,194180.0,277244.0,0.0,0.0,61047.0,0.09440087145969499,0.7003938768738007
6604,Fully Paid,392128.0,Long Term,689.0,2257656.0,10+ years,Home Mortgage,Debt Consolidation,24269.84,21.2,13.0,0.0,609615.0,766414.0,0.0,0.0,188138.0,0.1290002019793981,0.7954121401748924
6605,Fully Paid,164274.0,Short Term,742.0,568043.0,4-6 years,Rent,Debt Consolidation,6319.4,20.6,3.0,0.0,33820.0,109384.0,0.0,0.0,47336.916666666664,0.13349834431548316,0.3091859869816427
6606,Fully Paid,292754.0,Short Term,744.0,2353264.0,4-6 years,Home Mortgage,Debt Consolidation,19277.02,14.2,13.0,0.0,207594.0,758274.0,0.0,0.0,196105.33333333334,0.09829931533393618,0.27377175005341076
6607,Fully Paid,224708.0,Short Term,729.0,1940660.0,10+ years,Rent,Debt Consolidation,27330.93,16.0,9.0,0.0,8455.0,217712.0,0.0,0.0,161721.66666666666,0.168999804190327,0.03883570956125524
6608,Fully Paid,778316.0,Long Term,702.0,2592702.0,0-1 year,Home Mortgage,Debt Consolidation,30032.16,16.4,9.0,0.0,742577.0,1086998.0,0.0,0.0,216058.5,0.13900013190871915,0.6831447711955312
6609,Fully Paid,242000.0,Long Term,707.0,1000160.0,7-9 years,Rent,Debt Consolidation,12668.44,8.8,7.0,0.0,36974.0,251812.0,0.0,0.0,83346.66666666667,0.1519969604863222,0.1468317633790288
6611,Fully Paid,206822.0,Short Term,745.0,1252233.0,2-3 years,Rent,Debt Consolidation,11374.54,13.0,9.0,0.0,86070.0,387794.0,0.0,0.0,104352.75,0.109000864855023,0.22194773513772775
6612,Fully Paid,564982.0,Short Term,737.0,1245013.0,4-6 years,Rent,Debt Consolidation,28427.61,15.3,9.0,0.0,322392.0,452474.0,0.0,0.0,103751.08333333333,0.27399819921559054,0.7125094480566839
6613,Fully Paid,130152.0,Short Term,741.0,955434.0,0-1 year,Home Mortgage,Debt Consolidation,2452.33,21.6,8.0,0.0,51243.0,549318.0,0.0,0.0,79619.5,0.030800620451020163,0.09328476401647133
6618,Fully Paid,539990.0,Short Term,727.0,1865420.0,10+ years,Home Mortgage,Debt Consolidation,54252.6,29.2,11.0,0.0,16739.0,36696.0,0.0,0.0,155451.66666666666,0.3489997962925239,0.4561532592108132
6619,Fully Paid,119042.0,Short Term,739.0,500175.0,10+ years,Rent,Debt Consolidation,11462.32,22.9,12.0,0.0,322620.0,542960.0,0.0,0.0,41681.25,0.2749994301994302,0.5941874171209666
6620,Charged Off,217668.0,Short Term,736.0,526357.0,4-6 years,Rent,Debt Consolidation,8728.79,20.3,5.0,0.0,134786.0,169818.0,0.0,0.0,43863.083333333336,0.1990008302349926,0.7937085585744739
6621,Fully Paid,220418.0,Short Term,731.0,593921.0,4-6 years,Rent,Debt Consolidation,10240.24,15.7,10.0,0.0,203110.0,374484.0,0.0,0.0,49493.416666666664,0.2069010524968809,0.542372971875968
6625,Fully Paid,335060.0,Short Term,684.0,1157442.0,4-6 years,Rent,Other,8111.67,21.8,12.0,0.0,218861.0,382228.0,0.0,0.0,96453.5,0.08409928100068945,0.572592798015844
6630,Fully Paid,109868.0,Short Term,704.0,1613062.0,7-9 years,Rent,Other,20297.7,22.3,9.0,0.0,125628.0,393162.0,0.0,0.0,134421.83333333334,0.15100002355768097,0.3195324064889282
6631,Charged Off,219252.0,Short Term,714.0,1041447.0,4-6 years,Home Mortgage,Debt Consolidation,9893.68,16.0,9.0,0.0,142405.0,271656.0,0.0,0.0,86787.25,0.11399923375841498,0.5242107665577054
6633,Charged Off,273658.0,Short Term,697.0,975973.0,10+ years,Rent,Debt Consolidation,11955.75,7.0,6.0,0.0,153577.0,261492.0,0.0,0.0,81331.08333333333,0.14700099285533513,0.5873105104553867
6635,Fully Paid,778624.0,Long Term,716.0,2324745.0,4-6 years,Home Mortgage,Debt Consolidation,42620.42,22.7,10.0,0.0,682594.0,1078264.0,0.0,0.0,193728.75,0.22000049037636385,0.6330490492124378
6636,Fully Paid,558580.0,Long Term,692.0,3859280.0,10+ years,Home Mortgage,Big Purchase,23509.46,33.5,18.0,0.0,167713.0,2232010.0,0.0,0.0,321606.6666666667,0.07310003938558488,0.07513989632662936
6637,Charged Off,369336.0,Short Term,705.0,3303682.0,2-3 years,Own Home,Debt Consolidation,25576.09,16.5,9.0,0.0,12407.0,202202.0,0.0,0.0,275306.8333333333,0.0929003094123466,0.06135943264656136
6638,Charged Off,152306.0,Short Term,745.0,1033505.0,2-3 years,Rent,Debt Consolidation,16277.68,32.3,10.0,0.0,138301.0,588742.0,0.0,0.0,86125.41666666667,0.18899972423936023,0.23490934908669672
6639,Fully Paid,329142.0,Long Term,708.0,1140817.0,10+ years,Home Mortgage,Debt Consolidation,25288.24,23.4,16.0,0.0,501182.0,1247994.0,0.0,0.0,95068.08333333333,0.2660013656879237,0.4015900717471398
6641,Fully Paid,285054.0,Long Term,659.0,1098371.0,4-6 years,Rent,Debt Consolidation,12741.02,12.3,11.0,0.0,250097.0,548460.0,0.0,0.0,91530.91666666667,0.13919908664740785,0.4559986143018634
6642,Fully Paid,155254.0,Short Term,670.0,868167.0,10+ years,Home Mortgage,Other,16856.99,21.1,16.0,0.0,70148.0,317284.0,0.0,0.0,72347.25,0.2330011161447049,0.2210889928266159
6643,Fully Paid,317746.0,Long Term,726.0,2667980.0,7-9 years,Home Mortgage,Debt Consolidation,19520.6,10.9,12.0,0.0,251465.0,330858.0,0.0,0.0,222331.66666666666,0.08779945876655747,0.76003904998519
6644,Fully Paid,266222.0,Short Term,742.0,1149576.0,4-6 years,Rent,Debt Consolidation,4425.86,6.6,15.0,0.0,136743.0,659736.0,0.0,0.0,95798.0,0.04619992066640222,0.20726927134490158
6645,Fully Paid,771628.0,Long Term,668.0,4150702.0,7-9 years,Rent,Debt Consolidation,59550.04699999999,26.2,15.0,0.0,498066.0,826232.0,0.0,0.0,345891.8333333333,0.17216378434298582,0.6028161581734912
6646,Charged Off,547690.0,Short Term,684.0,946010.0,4-6 years,Rent,Business Loan,5904.63,17.6,3.0,1.0,52136.0,109582.0,1.0,0.0,78834.16666666667,0.07489937738501706,0.4757715683232648
6648,Fully Paid,787402.0,Short Term,747.0,3157287.0,2-3 years,Rent,Business Loan,59550.04699999999,32.5,16.0,0.0,45980.0,691570.0,0.0,0.0,263107.25,0.2263337365275947,0.0664864005089868
6650,Fully Paid,372834.0,Short Term,747.0,1325877.0,10+ years,Home Mortgage,Debt Consolidation,9910.97,19.0,9.0,0.0,369550.0,655248.0,0.0,0.0,110489.75,0.08970035682042904,0.5639849339486729
6651,Fully Paid,88132.0,Short Term,739.0,589950.0,0-1 year,Rent,Other,2266.32,9.9,6.0,0.0,31863.0,247566.0,0.0,0.0,49162.5,0.046098550724637685,0.12870507258670416
